"Step","miloss0.01_mitemp0.5_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.01_mitemp0.5_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.01_mitemp0.5_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX","miloss0.01_mitemp0.2_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.01_mitemp0.2_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.01_mitemp0.2_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX","miloss0.01_mitemp0.05_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.01_mitemp0.05_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.01_mitemp0.05_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX","miloss0.01_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.01_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.01_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX"
"126","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.22","0.22","0.22"
"6476","0.12","0.12","0.12","0.12","0.12","0.12","0.1","0.1","0.1","0.1","0.1","0.1"
"12826","0.18","0.18","0.18","0.18","0.18","0.18","0.34","0.34","0.34","0.06","0.06","0.06"
"19176","0.22","0.22","0.22","0.24","0.24","0.24","0.12","0.12","0.12","0.1","0.1","0.1"
"25526","0.24","0.24","0.24","0.2","0.2","0.2","0.22","0.22","0.22","0.26","0.26","0.26"
"31876","0.24","0.24","0.24","0.22","0.22","0.22","0.34","0.34","0.34","0.28","0.28","0.28"
"38226","0.32","0.32","0.32","0.3","0.3","0.3","0.32","0.32","0.32","0.26","0.26","0.26"
"44576","0.42","0.42","0.42","0.3","0.3","0.3","0.28","0.28","0.28","0.36","0.36","0.36"
"50926","0.4","0.4","0.4","0.42","0.42","0.42","0.3","0.3","0.3","0.38","0.38","0.38"
"57276","0.34","0.34","0.34","0.36","0.36","0.36","0.5","0.5","0.5","0.58","0.58","0.58"
"63626","0.52","0.52","0.52","0.34","0.34","0.34","0.6","0.6","0.6","0.52","0.52","0.52"
"69976","0.48","0.48","0.48","0.56","0.56","0.56","0.5","0.5","0.5","0.38","0.38","0.38"
"76326","0.62","0.62","0.62","0.68","0.68","0.68","0.52","0.52","0.52","0.6","0.6","0.6"
"82676","0.52","0.52","0.52","0.62","0.62","0.62","0.66","0.66","0.66","0.62","0.62","0.62"
"89026","0.56","0.56","0.56","0.54","0.54","0.54","0.58","0.58","0.58","0.56","0.56","0.56"
"95376","0.58","0.58","0.58","0.62","0.62","0.62","0.74","0.74","0.74","0.58","0.58","0.58"
"101726","0.7","0.7","0.7","0.6","0.6","0.6","0.7","0.7","0.7","0.64","0.64","0.64"
"108076","0.68","0.68","0.68","0.74","0.74","0.74","0.68","0.68","0.68","0.64","0.64","0.64"
"114426","0.6","0.6","0.6","0.66","0.66","0.66","0.7","0.7","0.7","0.68","0.68","0.68"
"120776","0.7","0.7","0.7","0.74","0.74","0.74","0.62","0.62","0.62","0.74","0.74","0.74"
"127126","0.7","0.7","0.7","0.66","0.66","0.66","0.74","0.74","0.74","0.62","0.62","0.62"
